time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
jsontrip-sample,1657656.,0.,1656979.,0.,1656979.,0.,1406280.,0.,1406209.,0.
kb,864299.,0.,863622.,0.,863622.,0.,787718.,0.,787631.,0.
kb-no-exc,868290.,0.,867613.,0.,867613.,0.,791477.,0.,791390.,0.
lexifi-g2pp,1002413.,0.,1001736.,0.,1001736.,0.,902422.,0.,902335.,0.
menhir-fancy,3996941.,0.,3971819.,0.,3971819.,0.,3274604.,0.,3274517.,0.
menhir-list-errors,3996941.,0.,3971819.,0.,,,,,3274517.,0.
menhir-sql,3996941.,0.,3971819.,0.,3971819.,0.,3274604.,0.,3274517.,0.
menhir-standard,3996941.,0.,3971819.,0.,3971819.,0.,3274604.,0.,3274517.,0.
menhir-sysver,3996941.,0.,3971819.,0.,,,,,3274517.,0.
minilight,1616597.,0.,1615920.,0.,1615920.,0.,1337413.,0.,1337342.,0.
numal-durand-kerner-aberth,954298.,0.,953621.,0.,953621.,0.,844509.,0.,844422.,0.
numal-fft,821798.,0.,821121.,0.,821121.,0.,746113.,0.,746026.,0.
numal-k-means,13646068.,0.,13645391.,0.,13645391.,0.,8398807.,0.,8398720.,0.
numal-levinson-durbin,540219.,0.,539542.,0.,539542.,0.,503338.,0.,503251.,0.
numal-lu-decomposition,1529982.,0.,1529305.,0.,1529305.,0.,1210873.,0.,1210786.,0.
numal-naive-multilayer,1225999.,0.,1225322.,0.,1225322.,0.,1074920.,0.,1074833.,0.
numal-qr-decomposition,1026176.,0.,1025499.,0.,1025499.,0.,918819.,0.,918732.,0.
numal-rnd_access,518065.,0.,517388.,0.,517388.,0.,458110.,0.,458023.,0.
numal-simple_access,424148.,0.,423471.,0.,423471.,0.,387771.,0.,387684.,0.
patdiff,,,,,,,18398582.,0.,,
sauvola-contrast,,,,,,,,,1935177.,0.
sequence,954655.,0.,953978.,0.,953978.,0.,859450.,0.,859363.,0.
sequence-cps,769502.,0.,768825.,0.,768825.,0.,704281.,0.,704194.,0.
setrip,1369258.,0.,1368581.,0.,1368581.,0.,1168042.,0.,1167971.,0.
setrip-smallbuf,1369258.,0.,1368581.,0.,1368581.,0.,1168042.,0.,1167971.,0.

code_size,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,606721.,0.,606068.,0.,606068.,0.,528172.,0.,528085.,0.
bdd,638798.,0.,638145.,0.,638145.,0.,554433.,0.,554346.,0.
cpdf-merge,3570789.,0.,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-reformat,3570789.,0.,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-squeeze,3570789.,0.,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
cpdf-transform,3570789.,0.,3570136.,0.,3570136.,0.,3124170.,0.,3124099.,0.
frama-c-deflate,,,,,,,,,10199177.,0.
frama-c-idct,,,,,,,,,10199177.,0.
frama-c-monocypher,,,,,,,,,10199177.,0.
jsontrip-sample,1288664.,0.,1288011.,0.,1288011.,0.,1061560.,0.,1061489.,0.
kb,668335.,0.,667682.,0.,667682.,0.,583570.,0.,583483.,0.
kb-no-exc,671590.,0.,670937.,0.,670937.,0.,586625.,0.,586538.,0.
lexifi-g2pp,769073.,0.,768420.,0.,768420.,0.,664514.,0.,664427.,0.
menhir-fancy,2957797.,0.,2938139.,0.,2938139.,0.,2371292.,0.,2371205.,0.
menhir-list-errors,2957797.,0.,2938139.,0.,,,,,2371205.,0.
menhir-sql,2957797.,0.,2938139.,0.,2938139.,0.,2371292.,0.,2371205.,0.
menhir-standard,2957797.,0.,2938139.,0.,2938139.,0.,2371292.,0.,2371205.,0.
menhir-sysver,2957797.,0.,2938139.,0.,,,,,2371205.,0.
minilight,1262037.,0.,1261384.,0.,1261384.,0.,1014229.,0.,1014158.,0.
numal-durand-kerner-aberth,744606.,0.,743953.,0.,743953.,0.,634409.,0.,634322.,0.
numal-fft,636842.,0.,636189.,0.,636189.,0.,553325.,0.,553238.,0.
numal-k-means,11006648.,0.,11005995.,0.,11005995.,0.,7160195.,0.,7160108.,0.
numal-levinson-durbin,333631.,0.,332978.,0.,332978.,0.,283830.,0.,283743.,0.
numal-lu-decomposition,1146114.,0.,1145461.,0.,1145461.,0.,891973.,0.,891886.,0.
numal-naive-multilayer,874859.,0.,874206.,0.,874206.,0.,733420.,0.,733333.,0.
numal-qr-decomposition,760004.,0.,759351.,0.,759351.,0.,652015.,0.,651928.,0.
numal-rnd_access,406101.,0.,405448.,0.,405448.,0.,336426.,0.,336339.,0.
numal-simple_access,331480.,0.,330827.,0.,330827.,0.,282055.,0.,281968.,0.
patdiff,,,,,,,14145694.,0.,,
sauvola-contrast,,,,,,,,,1451769.,0.
sequence,743427.,0.,742774.,0.,742774.,0.,643206.,0.,643119.,0.
sequence-cps,594434.,0.,593781.,0.,593781.,0.,519461.,0.,519374.,0.
setrip,1068938.,0.,1068285.,0.,1068285.,0.,882298.,0.,882227.,0.
setrip-smallbuf,1068938.,0.,1068285.,0.,1068285.,0.,882298.,0.,882227.,0.

data_size,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,185980.,0.,185956.,0.,185956.,0.,194356.,0.,194356.,0.
bdd,186556.,0.,186532.,0.,186532.,0.,194196.,0.,194196.,0.
cpdf-merge,1855856.,0.,1855832.,0.,1855832.,0.,1790856.,0.,1790824.,0.
cpdf-reformat,1855856.,0.,1855832.,0.,1855832.,0.,1790856.,0.,1790824.,0.
cpdf-squeeze,1855856.,0.,1855832.,0.,1855832.,0.,1790856.,0.,1790824.,0.
cpdf-transform,1855856.,0.,1855832.,0.,1855832.,0.,1790856.,0.,1790824.,0.
frama-c-deflate,,,,,,,,,3961904.,0.
frama-c-idct,,,,,,,,,3961904.,0.
frama-c-monocypher,,,,,,,,,3961904.,0.
jsontrip-sample,368992.,0.,368968.,0.,368968.,0.,344720.,0.,344720.,0.
kb,195964.,0.,195940.,0.,195940.,0.,204148.,0.,204148.,0.
kb-no-exc,196700.,0.,196676.,0.,196676.,0.,204852.,0.,204852.,0.
lexifi-g2pp,233340.,0.,233316.,0.,233316.,0.,237908.,0.,237908.,0.
menhir-fancy,1039144.,0.,1033680.,0.,1033680.,0.,903312.,0.,903312.,0.
menhir-list-errors,1039144.,0.,1033680.,0.,,,,,903312.,0.
menhir-sql,1039144.,0.,1033680.,0.,1033680.,0.,903312.,0.,903312.,0.
menhir-standard,1039144.,0.,1033680.,0.,1033680.,0.,903312.,0.,903312.,0.
menhir-sysver,1039144.,0.,1033680.,0.,,,,,903312.,0.
minilight,354560.,0.,354536.,0.,354536.,0.,323184.,0.,323184.,0.
numal-durand-kerner-aberth,209692.,0.,209668.,0.,209668.,0.,210100.,0.,210100.,0.
numal-fft,184956.,0.,184932.,0.,184932.,0.,192788.,0.,192788.,0.
numal-k-means,2639420.,0.,2639396.,0.,2639396.,0.,1238612.,0.,1238612.,0.
numal-levinson-durbin,206588.,0.,206564.,0.,206564.,0.,219508.,0.,219508.,0.
numal-lu-decomposition,383868.,0.,383844.,0.,383844.,0.,318900.,0.,318900.,0.
numal-naive-multilayer,351140.,0.,351116.,0.,351116.,0.,341500.,0.,341500.,0.
numal-qr-decomposition,266172.,0.,266148.,0.,266148.,0.,266804.,0.,266804.,0.
numal-rnd_access,111964.,0.,111940.,0.,111940.,0.,121684.,0.,121684.,0.
numal-simple_access,92668.,0.,92644.,0.,92644.,0.,105716.,0.,105716.,0.
patdiff,,,,,,,4252888.,0.,,
sauvola-contrast,,,,,,,,,483408.,0.
sequence,211228.,0.,211204.,0.,211204.,0.,216244.,0.,216244.,0.
sequence-cps,175068.,0.,175044.,0.,175044.,0.,184820.,0.,184820.,0.
setrip,300320.,0.,300296.,0.,300296.,0.,285744.,0.,285744.,0.
setrip-smallbuf,300320.,0.,300296.,0.,300296.,0.,285744.,0.,285744.,0.

minor_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,1499296.,0.,1499328.,0.,1499312.,0.,11689156.,0.,11689154.,0.
bdd,78092088.,0.,78092092.,0.,78092090.,0.,76776821.,0.,76776856.,0.
cpdf-merge,191149171.,nan,190387747.,nan,186168648.,nan,197536374.,0.,197535883.,0.
cpdf-reformat,444797318.,nan,444797447.,nan,444797388.,nan,448744298.,0.,448744421.,0.
cpdf-squeeze,386787388.,0.,386787517.,0.,386787458.,0.,403639849.,0.,403639819.,0.
cpdf-transform,55783231.,0.,55783392.,0.,55783336.,0.,55760133.,0.,55760053.,0.
frama-c-deflate,,,,,,,,,2473284786.33,10578.2116321
frama-c-idct,,,,,,,,,23799670.,nan
frama-c-monocypher,,,,,,,,,8673237.,nan
jsontrip-sample,5117399.,0.,5117396.,0.,5117393.,0.,7160787.,0.,7160780.,0.
kb,90482164.,0.,91006978.,0.,90482693.,0.,90578338.,0.,90578323.,0.
kb-no-exc,37609470.,nan,37609474.,nan,37609474.,nan,37503345.,0.,37503337.,0.
lexifi-g2pp,1583340397.,0.,1583340401.,0.,1579408257.,0.,1678613139.,0.,1678613459.,0.
menhir-fancy,1371606.,0.,1359673.,0.,1359670.,0.,2238238.,0.,2238235.,0.
menhir-list-errors,2358446940.,nan,2407885033.,nan,,,,,2535402363.,0.
menhir-sql,1019710626.,nan,1007629243.,nan,1007629239.,nan,1032167599.,0.,1032167255.,0.
