time_real,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
frama-c-idct,,,,,,,3961904.,0.
jsontrip-sample,368968.,0.,368968.,0.,344720.,0.,344720.,0.
kb,195940.,0.,195940.,0.,204148.,0.,204148.,0.
kb-no-exc,196676.,0.,196676.,0.,204852.,0.,204852.,0.
lexifi-g2pp,233316.,0.,233316.,0.,237908.,0.,237908.,0.
menhir-fancy,1033648.,0.,1033680.,0.,903312.,0.,903312.,0.
menhir-list-errors,1033648.,0.,,,,,903312.,0.
menhir-sql,1033648.,0.,1033680.,0.,903312.,0.,903312.,0.
menhir-standard,1033648.,0.,1033680.,0.,903312.,0.,903312.,0.
menhir-sysver,1033648.,0.,,,,,903312.,0.
minilight,354536.,0.,354536.,0.,323184.,0.,323184.,0.
numal-durand-kerner-aberth,209668.,0.,209668.,0.,210100.,0.,210100.,0.
numal-fft,184932.,0.,184932.,0.,192788.,0.,192788.,0.
numal-k-means,2639396.,0.,2639396.,0.,1238612.,0.,1238612.,0.
numal-levinson-durbin,206564.,0.,206564.,0.,219508.,0.,219508.,0.
numal-lu-decomposition,383844.,0.,383844.,0.,318900.,0.,318900.,0.
numal-naive-multilayer,351116.,0.,351116.,0.,341500.,0.,341500.,0.
numal-qr-decomposition,266148.,0.,266148.,0.,266804.,0.,266804.,0.
numal-rnd_access,111940.,0.,111940.,0.,121684.,0.,121684.,0.
numal-simple_access,92644.,0.,92644.,0.,105716.,0.,105716.,0.
patdiff,,,,,4252888.,0.,4252872.,0.
sauvola-contrast,,,,,,,483408.,0.
sequence,211204.,0.,211204.,0.,216244.,0.,216244.,0.
sequence-cps,175044.,0.,175044.,0.,184820.,0.,184820.,0.
setrip,300296.,0.,300296.,0.,285744.,0.,285744.,0.
setrip-smallbuf,300296.,0.,300296.,0.,285744.,0.,285744.,0.

minor_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,1499296.,0.,1499312.,0.,11689156.,0.,11689154.,0.
bdd,78092088.,0.,78092090.,0.,76776821.,0.,76776856.,0.
cpdf-merge,191149171.,nan,186168648.,nan,197536374.,0.,197535883.,0.
cpdf-reformat,444797318.,nan,444797388.,nan,448744298.,0.,448744421.,0.
cpdf-squeeze,386787388.,0.,386787458.,0.,403639849.,0.,403639819.,0.
cpdf-transform,55783231.,0.,55783336.,0.,55760133.,0.,55760053.,0.
frama-c-deflate,,,,,,,2473364456.33,74283.6176847
frama-c-idct,,,,,,,23799677.,nan
jsontrip-sample,5117399.,0.,5117393.,0.,7160787.,0.,7160780.,0.
kb,90482164.,0.,90482693.,0.,90578338.,0.,90578323.,0.
