time_real,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
numal-qr-decomposition,6273.,0.,6560.,0.
numal-rnd_access,1.,0.,763.142857143,0.377964473009
numal-simple_access,866.,0.,2445.,0.
patdiff,,,149.,0.
sequence,2853.,0.,2898.,0.
sequence-cps,5725.,0.,6002.,0.
setrip,639.,0.,654.,0.
setrip-smallbuf,645.,0.,654.,0.

major_collections,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,1.,0.,0.,0.
bdd,5.,0.,4.,0.
cpdf-merge,30.,nan,24.,0.
cpdf-reformat,29.,nan,25.,0.
cpdf-squeeze,36.,0.,33.,0.
cpdf-transform,15.,0.,13.,0.
jsontrip-sample,2.,0.,4.,0.
kb,67.,0.,67.,0.
kb-no-exc,56.,nan,43.,0.
lexifi-g2pp,11.,0.,8.,0.
menhir-fancy,1.,0.,1.,0.
menhir-sql,15.,nan,16.,0.
menhir-standard,1.,0.,1.,0.
minilight,38.,0.,53.,0.
numal-durand-kerner-aberth,47.,0.,86.,0.
numal-fft,10.,0.,4.,0.
numal-k-means,2.,0.,0.,0.
numal-levinson-durbin,72.,0.,3840.,0.
numal-lu-decomposition,3.,0.,5.,0.
numal-naive-multilayer,129.,0.,143.,0.
numal-qr-decomposition,9.,0.,50.,0.
numal-rnd_access,1.,0.,0.,0.
numal-simple_access,5.,0.,6.,0.
patdiff,,,10.,0.
sequence,156.,0.,70.,0.
sequence-cps,961.,0.,550.,0.
setrip,13.,0.,6.,0.
setrip-smallbuf,13.,0.,6.,0.

compactions,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,,,0.,0.
bdd,,,0.,0.
cpdf-merge,,,0.,0.
cpdf-reformat,,,0.,0.
cpdf-squeeze,,,0.,0.
cpdf-transform,,,0.,0.
jsontrip-sample,,,2.,0.
kb,,,4.,0.
kb-no-exc,,,6.,0.
lexifi-g2pp,,,2.,0.
menhir-fancy,,,0.,0.
menhir-sql,,,0.,0.
menhir-standard,,,0.,0.
minilight,,,0.,0.
numal-durand-kerner-aberth,,,2.,0.
numal-fft,,,0.,0.
numal-k-means,,,0.,0.
numal-levinson-durbin,,,1245.,0.
numal-lu-decomposition,,,0.,0.
numal-naive-multilayer,,,2.,0.
numal-qr-decomposition,,,0.,0.
numal-rnd_access,,,0.,0.
numal-simple_access,,,0.,0.
patdiff,,,1.,0.
sequence,,,2.,0.
sequence-cps,,,2.,0.
setrip,,,2.,0.
setrip-smallbuf,,,2.,0.

heap_words,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,32768.,0.,491520.,0.
bdd,573081.,0.,565248.,0.
cpdf-merge,37871373.,nan,49650688.,0.
cpdf-reformat,30609141.,nan,32645632.,0.
cpdf-squeeze,28036569.,0.,43174400.,0.
cpdf-transform,10593479.,0.,19150848.,0.
jsontrip-sample,94607.,0.,73728.,0.
kb,225280.,0.,430080.,0.
kb-no-exc,270336.,nan,494592.,0.
lexifi-g2pp,152547.,0.,163328.,0.
menhir-fancy,357664.,0.,491520.,0.
menhir-sql,48192139.,nan,49650688.,0.
menhir-standard,323978.,0.,491520.,0.
minilight,1094234.,0.,860672.,0.
numal-durand-kerner-aberth,49152.,0.,73728.,0.
numal-fft,50323465.,0.,85220352.,0.
numal-k-means,564323.,0.,596992.,0.
numal-levinson-durbin,18155498.,0.,245760.,0.
numal-lu-decomposition,4680084.,0.,8068096.,0.
numal-naive-multilayer,74082.,0.,73728.,0.
numal-qr-decomposition,1263179.,0.,491520.,0.
numal-rnd_access,200032771.,0.,360491520.,0.
numal-simple_access,209263875.,0.,224531968.,0.
patdiff,,,3527680.,0.
sequence,36864.,0.,73728.,0.
sequence-cps,32768.,0.,73728.,0.
setrip,65539.,0.,73728.,0.
setrip-smallbuf,65539.,0.,73728.,0.

heap_chunks,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,,,1.,0.
bdd,,,2.,0.
cpdf-merge,,,34.,0.
cpdf-reformat,,,31.,0.
cpdf-squeeze,,,33.,0.
cpdf-transform,,,22.,0.
jsontrip-sample,,,1.,0.
kb,,,7.,0.
kb-no-exc,,,8.,0.
lexifi-g2pp,,,2.,0.
menhir-fancy,,,1.,0.
menhir-sql,,,34.,0.
menhir-standard,,,1.,0.
minilight,,,5.,0.
numal-durand-kerner-aberth,,,1.,0.
numal-fft,,,13.,0.
numal-k-means,,,2.,0.
numal-levinson-durbin,,,4.,0.
numal-lu-decomposition,,,21.,0.
numal-naive-multilayer,,,1.,0.
numal-qr-decomposition,,,1.,0.
numal-rnd_access,,,2.,0.
numal-simple_access,,,15.,0.
patdiff,,,9.,0.
sequence,,,1.,0.
sequence-cps,,,1.,0.
setrip,,,1.,0.
setrip-smallbuf,,,1.,0.

mean_space_overhead,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,0.,0.,,
bdd,29.485306,3.64500732561e-15,,
cpdf-squeeze,29.218629,0.,,
cpdf-transform,32.84631,0.,,
jsontrip-sample,334.791105,1.880034021e-12,,
kb,66.924631,1.50728876034e-14,,
lexifi-g2pp,91.8504,0.,,
menhir-fancy,0.,0.,,
menhir-standard,0.,0.,,
minilight,52.208121,0.,,
numal-durand-kerner-aberth,656.331542,0.,,
numal-fft,38.656878,0.,,
numal-k-means,11.47746,5.38928791564e-15,,
numal-levinson-durbin,95.500088,0.,,
numal-lu-decomposition,26.466785,3.9720546452e-15,,
numal-naive-multilayer,197.103607,0.,,
numal-qr-decomposition,57.744404,0.,,
numal-rnd_access,0.,0.,,
numal-simple_access,4629.648832,0.,,
sequence,7392.682927,0.,,
sequence-cps,7837.636631,0.,,
setrip,624.297617,0.,,
setrip-smallbuf,623.105798,0.,,

