time_real,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
numal-simple_access,0.987213880136,2.7856228712e-05,0.994544909821,0.0021570137141,1.,0.000366596030717,0.36372499499,0.000553368732895
sauvola-contrast,,,,,,,1.,nan
sequence,0.989703045344,0.000356492234573,1.,0.000750017501178,0.988493540895,0.00025136838547,0.998856711144,0.00101296529822
sequence-cps,0.769048944062,0.017536424963,0.772932336547,0.00203486906587,1.,0.000468405008534,0.537587399924,0.0013942366161
setrip,0.978666723978,0.00717413194006,0.981830729956,0.00630821566199,1.,0.0103366606098,0.880819798464,0.00417341847426
setrip-smallbuf,0.977634707506,0.0110693568537,0.973989719257,0.00344302405135,1.,0.0120534643089,0.87793555298,0.00973599613317

size,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,0.988605364856,0.,1.,0.,0.988496249148,0.,0.821142305069,0.
bdd,0.987531106659,0.,1.,0.,0.987426188283,0.,0.818081370759,0.
cpdf-merge,0.986557731178,0.,1.,0.,0.986540805143,0.,0.866564134861,0.
cpdf-reformat,0.986557731178,0.,1.,0.,0.986540805143,0.,0.866564134861,0.
cpdf-squeeze,0.986557731178,0.,1.,0.,0.986540805143,0.,0.866564134861,0.
cpdf-transform,0.986557731178,0.,1.,0.,0.986540805143,0.,0.866564134861,0.
frama-c-deflate,,,,,,,1.,0.
frama-c-idct,,,,,,,1.,0.
jsontrip-sample,0.985467624049,0.,1.,0.,0.985413951595,0.,0.786194662163,0.
kb,0.98606208054,0.,1.,0.,0.98596175511,0.,0.823118950429,0.
kb-no-exc,0.985931876613,0.,1.,0.,0.985831992001,0.,0.823413369347,0.
lexifi-g2pp,0.986596331876,0.,1.,0.,0.986509064861,0.,0.820250856308,0.
menhir-fancy,0.980749326967,0.,1.,0.,0.980734158693,0.,0.775337476326,0.
menhir-sql,0.980749326967,0.,1.,0.,0.980734158693,0.,0.775337476326,0.
menhir-standard,0.980749326967,0.,1.,0.,0.980734158693,0.,0.775337476326,0.
minilight,0.987209395543,0.,1.,0.,0.987154424059,0.,0.765788268169,0.
numal-durand-kerner-aberth,0.986131345933,0.,1.,0.,0.98604011104,0.,0.802507819115,0.
numal-fft,0.987715888351,0.,1.,0.,0.987610530117,0.,0.8187498148,0.
numal-k-means,0.998959271415,0.,1.,0.,0.998952499237,0.,0.593664302847,0.
numal-levinson-durbin,0.996238804015,0.,1.,0.,0.996081609929,0.,0.824042507901,0.
numal-lu-decomposition,0.991287758499,0.,1.,0.,0.99123012912,0.,0.726842144125,0.
numal-naive-multilayer,0.987928355341,0.,1.,0.,0.987856290302,0.,0.806852934774,0.
numal-qr-decomposition,0.987067804939,0.,1.,0.,0.986982496705,0.,0.816410460567,0.
numal-rnd_access,0.992863019888,0.,1.,0.,0.992701160666,0.,0.772242154886,0.
numal-simple_access,0.995515477368,0.,1.,0.,0.995321289649,0.,0.784202829072,0.
sauvola-contrast,,,,,,,1.,0.
sequence,0.985298670318,0.,1.,0.,0.985207505171,0.,0.816082861522,0.
sequence-cps,0.988089854818,0.,1.,0.,0.987977682353,0.,0.822824759735,0.
setrip,0.985428466007,0.,1.,0.,0.985363945585,0.,0.784978973735,0.
setrip-smallbuf,0.985428466007,0.,1.,0.,0.985363945585,0.,0.784978973735,0.

