time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
code_size,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,606721.,0.,606068.,0.,606068.,0.,607096.,0.,528172.,0.,528085.,0.
bdd,638798.,0.,638145.,0.,638145.,0.,639173.,0.,554433.,0.,554346.,0.
cpdf-merge,3570789.,0.,3570136.,0.,3570136.,0.,3573073.,0.,3124170.,0.,3124099.,0.
cpdf-reformat,3570789.,0.,3570136.,0.,3570136.,0.,3573073.,0.,3124170.,0.,3124099.,0.
cpdf-squeeze,3570789.,0.,3570136.,0.,3570136.,0.,3573073.,0.,3124170.,0.,3124099.,0.
cpdf-transform,3570789.,0.,3570136.,0.,3570136.,0.,3573073.,0.,3124170.,0.,3124099.,0.
frama-c-deflate,,,,,,,,,,,10199177.,0.
frama-c-idct,,,,,,,,,,,10199177.,0.
frama-c-monocypher,,,,,,,,,,,10199177.,0.
jsontrip-sample,1288664.,0.,1288011.,0.,1288011.,0.,1290196.,0.,1061560.,0.,1061489.,0.
kb,668335.,0.,667682.,0.,667682.,0.,668710.,0.,583570.,0.,583483.,0.
kb-no-exc,671590.,0.,670937.,0.,670937.,0.,671965.,0.,586625.,0.,586538.,0.
lexifi-g2pp,769073.,0.,768420.,0.,768420.,0.,769448.,0.,664514.,0.,664427.,0.
menhir-fancy,2957797.,0.,2938139.,0.,2938139.,0.,2960697.,0.,2371292.,0.,2371205.,0.
menhir-list-errors,2957797.,0.,2938139.,0.,,,2960697.,0.,,,2371205.,0.
menhir-sql,2957797.,0.,2938139.,0.,2938139.,0.,2960697.,0.,2371292.,0.,2371205.,0.
menhir-standard,2957797.,0.,2938139.,0.,2938139.,0.,2960697.,0.,2371292.,0.,2371205.,0.
menhir-sysver,2957797.,0.,2938139.,0.,,,2960697.,0.,,,2371205.,0.
minilight,1262037.,0.,1261384.,0.,1261384.,0.,1263569.,0.,1014229.,0.,1014158.,0.
numal-durand-kerner-aberth,744606.,0.,743953.,0.,743953.,0.,744981.,0.,634409.,0.,634322.,0.
numal-fft,636842.,0.,636189.,0.,636189.,0.,637217.,0.,553325.,0.,553238.,0.
numal-k-means,11006648.,0.,11005995.,0.,11005995.,0.,11007023.,0.,7160195.,0.,7160108.,0.
numal-levinson-durbin,333631.,0.,332978.,0.,332978.,0.,334006.,0.,283830.,0.,283743.,0.
numal-lu-decomposition,1146114.,0.,1145461.,0.,1145461.,0.,1146489.,0.,891973.,0.,891886.,0.
numal-naive-multilayer,874859.,0.,874206.,0.,874206.,0.,875234.,0.,733420.,0.,733333.,0.
numal-qr-decomposition,760004.,0.,759351.,0.,759351.,0.,760379.,0.,652015.,0.,651928.,0.
numal-rnd_access,406101.,0.,405448.,0.,405448.,0.,406476.,0.,336426.,0.,336339.,0.
numal-simple_access,331480.,0.,330827.,0.,330827.,0.,331855.,0.,282055.,0.,281968.,0.
patdiff,,,,,,,,,14145694.,0.,,
sauvola-contrast,,,,,,,,,,,1451769.,0.
sequence,743427.,0.,742774.,0.,742774.,0.,744975.,0.,643206.,0.,643119.,0.
sequence-cps,594434.,0.,593781.,0.,593781.,0.,594809.,0.,519461.,0.,519374.,0.
setrip,1068938.,0.,1068285.,0.,1068285.,0.,1070470.,0.,882298.,0.,882227.,0.
setrip-smallbuf,1068938.,0.,1068285.,0.,1068285.,0.,1070470.,0.,882298.,0.,882227.,0.

data_size,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,185980.,0.,185956.,0.,185956.,0.,185980.,0.,194356.,0.,194356.,0.
bdd,186556.,0.,186532.,0.,186532.,0.,186556.,0.,194196.,0.,194196.,0.
cpdf-merge,1855856.,0.,1855832.,0.,1855832.,0.,1856496.,0.,1790856.,0.,1790824.,0.
cpdf-reformat,1855856.,0.,1855832.,0.,1855832.,0.,1856496.,0.,1790856.,0.,1790824.,0.
