time_real,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
menhir-list-errors,1033680.,0.,,,1040072.,0.,,
menhir-sql,1033680.,0.,1033680.,0.,1040072.,0.,903312.,0.
menhir-standard,1033680.,0.,1033680.,0.,1040072.,0.,903312.,0.
menhir-sysver,1033680.,0.,,,1040072.,0.,,
minilight,354536.,0.,354536.,0.,354976.,0.,323184.,0.
numal-durand-kerner-aberth,209668.,0.,209668.,0.,209692.,0.,210100.,0.
numal-fft,184932.,0.,184932.,0.,184956.,0.,192788.,0.
numal-k-means,2639396.,0.,2639396.,0.,2639420.,0.,1238612.,0.
numal-levinson-durbin,206564.,0.,206564.,0.,206588.,0.,219508.,0.
numal-lu-decomposition,383844.,0.,383844.,0.,383868.,0.,318900.,0.
numal-naive-multilayer,351116.,0.,351116.,0.,351140.,0.,341500.,0.
numal-qr-decomposition,266148.,0.,266148.,0.,266172.,0.,266804.,0.
numal-rnd_access,111940.,0.,111940.,0.,111964.,0.,121684.,0.
numal-simple_access,92644.,0.,92644.,0.,92668.,0.,105716.,0.
patdiff,,,,,,,4252888.,0.
sequence,211204.,0.,211204.,0.,211612.,0.,216244.,0.
sequence-cps,175044.,0.,175044.,0.,175068.,0.,184820.,0.
setrip,300296.,0.,300296.,0.,300736.,0.,285744.,0.
setrip-smallbuf,300296.,0.,300296.,0.,300736.,0.,285744.,0.

minor_words,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
almabench,1499328.,0.,1499312.,0.,1499296.,0.,11689156.,0.
bdd,78092092.,0.,78092090.,0.,78092088.,0.,76776821.,0.
cpdf-merge,190387747.,nan,186168648.,nan,190625002.,nan,197536374.,0.
cpdf-reformat,444797447.,nan,444797388.,nan,444797389.,nan,448744298.,0.
cpdf-squeeze,386787517.,0.,386787458.,0.,387311743.,0.,403639849.,0.
cpdf-transform,55783392.,0.,55783336.,0.,55783303.,0.,55760133.,0.
jsontrip-sample,5117396.,0.,5117393.,0.,5117681.,0.,7160787.,0.
kb,91006978.,0.,90482693.,0.,90220024.,0.,90578338.,0.
kb-no-exc,37609474.,nan,37609474.,nan,37609472.,nan,37503345.,0.
lexifi-g2pp,1583340401.,0.,1579408257.,0.,1583340397.,0.,1678613139.,0.
menhir-fancy,1359673.,0.,1359670.,0.,1371912.,0.,2238238.,0.
menhir-list-errors,2407885033.,nan,,,2358489139.,nan,,
