time_real,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
numal-rnd_access,140.,0.,138.,0.,140.,0.
numal-simple_access,188961058.,0.,188961056.,0.,200001888.,0.
patdiff,,,,,6522407.,0.
sequence,37206.,0.,37210.,0.,37749.,0.
sequence-cps,201323.,0.,201323.,0.,214872.,0.
setrip,4952.,0.,4952.,0.,5086.,0.
setrip-smallbuf,5038.,0.,5038.,0.,5086.,0.

top_heap_words,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,32768.,0.,32768.,0.,491520.,0.
bdd,573081.,0.,573081.,0.,565248.,0.
cpdf-merge,42903778.,nan,41250573.,nan,49650688.,0.
cpdf-reformat,30736225.,nan,30748513.,nan,32645632.,0.
cpdf-squeeze,39037390.,0.,39037390.,0.,43174400.,0.
cpdf-transform,15729863.,0.,15729863.,0.,19150848.,0.
jsontrip-sample,94607.,0.,94607.,0.,565248.,0.
kb,446464.,0.,446464.,0.,587264.,0.
kb-no-exc,507904.,nan,507904.,nan,628224.,0.
lexifi-g2pp,156643.,0.,152547.,0.,593408.,0.
menhir-fancy,357664.,0.,357664.,0.,491520.,0.
menhir-list-errors,399731040.,nan,,,,
menhir-sql,48188043.,nan,48192139.,nan,49650688.,0.
menhir-standard,323978.,0.,323978.,0.,491520.,0.
menhir-sysver,94239995.,nan,,,,
minilight,1106522.,0.,1106522.,0.,860672.,0.
numal-durand-kerner-aberth,45056.,0.,49152.,0.,565248.,0.
numal-fft,55193618.,0.,55197714.,0.,85220352.,0.
numal-k-means,564323.,0.,564323.,0.,596992.,0.
numal-levinson-durbin,18155498.,0.,18155498.,0.,565248.,0.
numal-lu-decomposition,4675988.,0.,4680084.,0.,8068096.,0.
numal-naive-multilayer,69986.,0.,74082.,0.,565248.,0.
numal-qr-decomposition,1263179.,0.,1263179.,0.,491520.,0.
numal-rnd_access,200032771.,0.,200032771.,0.,360491520.,0.
numal-simple_access,209259779.,0.,209263875.,0.,224531968.,0.
patdiff,,,,,3861504.,0.
sequence,36864.,0.,36864.,0.,565248.,0.
sequence-cps,32768.,0.,32768.,0.,565248.,0.
setrip,65539.,0.,65539.,0.,565248.,0.
setrip-smallbuf,65539.,0.,65539.,0.,565248.,0.

minor_collections,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,1.,0.,1.,0.,44.,0.
bdd,291.,0.,291.,0.,294.,0.
cpdf-merge,730.,nan,714.,nan,771.,0.
cpdf-reformat,1694.,nan,1694.,nan,1726.,0.
cpdf-squeeze,1476.,0.,1476.,0.,1561.,0.
cpdf-transform,214.,0.,214.,0.,221.,0.
jsontrip-sample,17.,0.,17.,0.,29.,0.
kb,343.,0.,341.,0.,387.,0.
kb-no-exc,143.,nan,143.,nan,170.,0.
lexifi-g2pp,6038.,0.,6023.,0.,6407.,0.
menhir-fancy,5.,0.,5.,0.,9.,0.
menhir-list-errors,9282.,nan,,,,
menhir-sql,3867.,nan,3867.,nan,3966.,0.
menhir-standard,4.,0.,4.,0.,5.,0.
menhir-sysver,31186.,nan,,,,
minilight,36851.,0.,36867.,0.,37210.,0.
numal-durand-kerner-aberth,290.,0.,290.,0.,338.,0.
numal-fft,183.,0.,183.,0.,185.,0.
numal-k-means,2.,0.,2.,0.,391.,0.
numal-levinson-durbin,3676.,0.,3676.,0.,6385.,0.
numal-lu-decomposition,20.,0.,20.,0.,2098.,0.
numal-naive-multilayer,8273.,0.,8253.,0.,8352.,0.
numal-qr-decomposition,6273.,0.,6273.,0.,6560.,0.
numal-rnd_access,1.,0.,1.,0.,763.142857143,0.377964473009
numal-simple_access,866.,0.,866.,0.,2445.,0.
patdiff,,,,,149.,0.
sequence,2853.,0.,2853.,0.,2898.,0.
sequence-cps,5725.,0.,5725.,0.,6002.,0.
setrip,639.,0.,639.,0.,654.,0.
setrip-smallbuf,645.,0.,645.,0.,654.,0.

major_collections,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,1.,0.,1.,0.,0.,0.
bdd,5.,0.,5.,0.,4.,0.
cpdf-merge,30.,nan,30.,nan,24.,0.
cpdf-reformat,29.,nan,29.,nan,25.,0.
cpdf-squeeze,36.,0.,36.,0.,33.,0.
cpdf-transform,15.,0.,15.,0.,13.,0.
jsontrip-sample,2.,0.,2.,0.,4.,0.
kb,71.,0.,67.,0.,67.,0.
kb-no-exc,56.,nan,56.,nan,43.,0.
lexifi-g2pp,11.,0.,11.,0.,8.,0.
menhir-fancy,1.,0.,1.,0.,1.,0.
menhir-list-errors,36.,nan,,,,
menhir-sql,15.,nan,15.,nan,16.,0.
menhir-standard,1.,0.,1.,0.,1.,0.
menhir-sysver,38.,nan,,,,
minilight,38.,0.,38.,0.,53.,0.
numal-durand-kerner-aberth,48.,0.,47.,0.,86.,0.
numal-fft,10.,0.,10.,0.,4.,0.
numal-k-means,2.,0.,2.,0.,0.,0.
numal-levinson-durbin,72.,0.,72.,0.,3840.,0.
numal-lu-decomposition,3.,0.,3.,0.,5.,0.
numal-naive-multilayer,132.,0.,129.,0.,143.,0.
numal-qr-decomposition,9.,0.,9.,0.,50.,0.
numal-rnd_access,1.,0.,1.,0.,0.,0.
numal-simple_access,5.,0.,5.,0.,6.,0.
patdiff,,,,,10.,0.
sequence,156.,0.,156.,0.,70.,0.
sequence-cps,961.,0.,961.,0.,550.,0.
setrip,13.,0.,13.,0.,6.,0.
setrip-smallbuf,13.,0.,13.,0.,6.,0.

compactions,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,,,,,0.,0.
bdd,,,,,0.,0.
cpdf-merge,,,,,0.,0.
cpdf-reformat,,,,,0.,0.
cpdf-squeeze,,,,,0.,0.
cpdf-transform,,,,,0.,0.
jsontrip-sample,,,,,2.,0.
kb,,,,,4.,0.
kb-no-exc,,,,,6.,0.
lexifi-g2pp,,,,,2.,0.
menhir-fancy,,,,,0.,0.
menhir-sql,,,,,0.,0.
menhir-standard,,,,,0.,0.
minilight,,,,,0.,0.
numal-durand-kerner-aberth,,,,,2.,0.
numal-fft,,,,,0.,0.
numal-k-means,,,,,0.,0.
numal-levinson-durbin,,,,,1245.,0.
numal-lu-decomposition,,,,,0.,0.
numal-naive-multilayer,,,,,2.,0.
numal-qr-decomposition,,,,,0.,0.
numal-rnd_access,,,,,0.,0.
numal-simple_access,,,,,0.,0.
patdiff,,,,,1.,0.
sequence,,,,,2.,0.
sequence-cps,,,,,2.,0.
setrip,,,,,2.,0.
setrip-smallbuf,,,,,2.,0.

heap_words,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,32768.,0.,32768.,0.,491520.,0.
bdd,573081.,0.,573081.,0.,565248.,0.
cpdf-merge,39053538.,nan,37871373.,nan,49650688.,0.
cpdf-reformat,30596853.,nan,30609141.,nan,32645632.,0.
cpdf-squeeze,28036569.,0.,28036569.,0.,43174400.,0.
cpdf-transform,10593479.,0.,10593479.,0.,19150848.,0.
jsontrip-sample,94607.,0.,94607.,0.,73728.,0.
kb,245760.,0.,225280.,0.,430080.,0.
kb-no-exc,270336.,nan,270336.,nan,494592.,0.
lexifi-g2pp,156643.,0.,152547.,0.,163328.,0.
menhir-fancy,357664.,0.,357664.,0.,491520.,0.
menhir-list-errors,297658774.,nan,,,,
menhir-sql,48188043.,nan,48192139.,nan,49650688.,0.
