time_real,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
numal-rnd_access,0.893354309877,0.000477670025503,0.886142889408,0.000210085975858,0.898588310878,0.000353411359767,1.,0.000353064458018,0.667369577668,0.0237735401117
numal-simple_access,1.,0.00288903316594,0.302470444324,0.00485589636565,0.956945495414,0.017582296447,0.956163869654,0.00272173968318,0.348943634079,0.000985817276256
patdiff,,,,,,,,,1.,0.0292861567529
sauvola-contrast,,,,,,,,,1.,nan
sequence,0.98965512214,0.00119816884083,0.957519584235,0.0015404165377,1.,0.000796843278444,0.989110975592,0.000878054859638,0.999346505692,0.00109589215116
sequence-cps,0.752580195256,0.00127629311479,0.712443805128,0.00403211574413,0.770328993136,0.000552080096627,1.,0.00222708622258,0.552115126856,0.0162344685234
setrip,0.980228783876,0.0111749393258,0.967567391672,0.00435963641696,0.986831765852,0.00875011297568,1.,0.011632335748,0.883833788682,0.00584254272224
setrip-smallbuf,0.977972262321,0.0133900101396,0.968847300362,0.0123910096328,0.983264252809,0.00990898108721,1.,0.0121848366032,0.884276800449,0.0114163043841

size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,0.988623550807,0.,0.898166628779,0.,1.,0.,0.988496249148,0.,0.821142305069,0.
bdd,0.987548593055,0.,0.899303494984,0.,1.,0.,0.987426188283,0.,0.818081370759,0.
cpdf-merge,0.986560552184,0.,0.956347580353,0.,1.,0.,0.986540805143,0.,0.866564134861,0.
cpdf-reformat,0.986560552184,0.,0.956347580353,0.,1.,0.,0.986540805143,0.,0.866564134861,0.
cpdf-squeeze,0.986560552184,0.,0.956347580353,0.,1.,0.,0.986540805143,0.,0.866564134861,0.
cpdf-transform,0.986560552184,0.,0.956347580353,0.,1.,0.,0.986540805143,0.,0.866564134861,0.
frama-c-deflate,,,,,,,,,1.,0.
frama-c-idct,,,,,,,,,1.,0.
jsontrip-sample,0.985476569458,0.,0.925381312034,0.,1.,0.,0.985413951595,0.,0.786194662163,0.
kb,0.986078801446,0.,0.900634976371,0.,1.,0.,0.98596175511,0.,0.823118950429,0.
kb-no-exc,0.985948524049,0.,0.900830186795,0.,1.,0.,0.985831992001,0.,0.823413369347,0.
lexifi-g2pp,0.986610876379,0.,0.908957777309,0.,1.,0.,0.986509064861,0.,0.820250856308,0.
menhir-fancy,0.980760703173,0.,0.940191257718,0.,1.,0.,0.980734158693,0.,0.775337476326,0.
menhir-sql,0.980760703173,0.,0.940191257718,0.,1.,0.,0.980734158693,0.,0.775337476326,0.
menhir-standard,0.980760703173,0.,0.940191257718,0.,1.,0.,0.980734158693,0.,0.775337476326,0.
minilight,0.987218557457,0.,0.924267046886,0.,1.,0.,0.987154424059,0.,0.765788268169,0.
numal-durand-kerner-aberth,0.986146551749,0.,0.904559748876,0.,1.,0.,0.98604011104,0.,0.802507819115,0.
numal-fft,0.987733448057,0.,0.899171072141,0.,1.,0.,0.987610530117,0.,0.8187498148,0.
numal-k-means,0.998960400112,0.,0.964070702669,0.,1.,0.,0.998952499237,0.,0.593664302847,0.
numal-levinson-durbin,0.996265003029,0.,0.880491559005,0.,1.,0.,0.996081609929,0.,0.824042507901,0.
numal-lu-decomposition,0.991297363396,0.,0.916960266344,0.,1.,0.,0.99123012912,0.,0.726842144125,0.
numal-naive-multilayer,0.98794036618,0.,0.918457658036,0.,1.,0.,0.987856290302,0.,0.806852934774,0.
numal-qr-decomposition,0.987082022978,0.,0.909671909865,0.,1.,0.,0.986982496705,0.,0.816410460567,0.
numal-rnd_access,0.992889996426,0.,0.869270014905,0.,1.,0.,0.992701160666,0.,0.772242154886,0.
numal-simple_access,0.995547841988,0.,0.8529169625,0.,1.,0.,0.995321289649,0.,0.784202829072,0.
patdiff,,,,,,,,,1.,0.
sauvola-contrast,,,,,,,,,1.,0.
sequence,0.98531386451,0.,0.90420727156,0.,1.,0.,0.985207505171,0.,0.816082861522,0.
sequence-cps,0.988108550229,0.,0.896220605848,0.,1.,0.,0.987977682353,0.,0.822824759735,0.
setrip,0.98543921941,0.,0.918585309103,0.,1.,0.,0.985363945585,0.,0.784978973735,0.
setrip-smallbuf,0.98543921941,0.,0.918585309103,0.,1.,0.,0.985363945585,0.,0.784978973735,0.

code_size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,0.992167624687,0.,0.968085754016,0.,1.,0.,0.991988196167,0.,0.846013482772,0.
bdd,0.991489820756,0.,0.966887638589,0.,1.,0.,0.991319647559,0.,0.842275276417,0.
cpdf-merge,0.989812775924,0.,0.961046694518,0.,1.,0.,0.989782611506,0.,0.84139845472,0.
cpdf-reformat,0.989812775924,0.,0.961046694518,0.,1.,0.,0.989782611506,0.,0.84139845472,0.
cpdf-squeeze,0.989812775924,0.,0.961046694518,0.,1.,0.,0.989782611506,0.,0.84139845472,0.
cpdf-transform,0.989812775924,0.,0.961046694518,0.,1.,0.,0.989782611506,0.,0.84139845472,0.
frama-c-deflate,,,,,,,,,1.,0.
frama-c-idct,,,,,,,,,1.,0.
jsontrip-sample,0.990419658738,0.,0.958426072954,0.,1.,0.,0.990336202394,0.,0.790964211386,0.
kb,0.990567132147,0.,0.96561389771,0.,1.,0.,0.990404721509,0.,0.846105769928,0.
kb-no-exc,0.990486305215,0.,0.965585908245,0.,1.,0.,0.990324689286,0.,0.846373959056,0.
lexifi-g2pp,0.990849039986,0.,0.964587684642,0.,1.,0.,0.990708120486,0.,0.835988575455,0.
menhir-fancy,0.986864520509,0.,0.952270172923,0.,1.,0.,0.986828171,0.,0.768822960687,0.
menhir-sql,0.986864520509,0.,0.952270172923,0.,1.,0.,0.986828171,0.,0.768822960687,0.
menhir-standard,0.986864520509,0.,0.952270172923,0.,1.,0.,0.986828171,0.,0.768822960687,0.
minilight,0.991574169194,0.,0.957089733692,0.,1.,0.,0.991489067467,0.,0.770594617924,0.
numal-durand-kerner-aberth,0.990717827403,0.,0.963082828435,0.,1.,0.,0.990572489317,0.,0.823135228006,0.
numal-fft,0.991645186417,0.,0.967036518203,0.,1.,0.,0.991474462257,0.,0.843313329136,0.
numal-k-means,0.999367378808,0.,0.961838429124,0.,1.,0.,0.999357604554,0.,0.625873726751,0.
numal-levinson-durbin,0.99609940177,0.,0.977934011681,0.,1.,0.,0.995768692458,0.,0.83782546816,0.
numal-lu-decomposition,0.99412839518,0.,0.94513912935,0.,1.,0.,0.994035837863,0.,0.737058710263,0.
numal-naive-multilayer,0.991227413535,0.,0.960395113155,0.,1.,0.,0.99110411956,0.,0.807281610043,0.
numal-qr-decomposition,0.990884068777,0.,0.962229281484,0.,1.,0.,0.990741810967,0.,0.828052223858,0.
numal-rnd_access,0.994384704407,0.,0.973244768059,0.,1.,0.,0.994114668724,0.,0.810924390009,0.
numal-simple_access,0.996214407851,0.,0.978490818527,0.,1.,0.,0.995881347112,0.,0.838504200431,0.
patdiff,,,,,,,,,1.,0.
sauvola-contrast,,,,,,,,,1.,0.
sequence,0.990172938605,0.,0.963066313494,0.,1.,0.,0.990027371765,0.,0.835864290115,0.
sequence-cps,0.991881121685,0.,0.968825536581,0.,1.,0.,0.991697829129,0.,0.849976679295,0.
setrip,0.990274554794,0.,0.958878368549,0.,1.,0.,0.990173856831,0.,0.793200549883,0.
setrip-smallbuf,0.990274554794,0.,0.958878368549,0.,1.,0.,0.990173856831,0.,0.793200549883,0.

data_size,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,0.979968387612,0.,0.727413574547,0.,1.,0.,0.979968387612,0.,0.760403136199,0.
bdd,0.977449346685,0.,0.726121692545,0.,1.,0.,0.977449346685,0.,0.756085405927,0.
cpdf-merge,0.980395680515,0.,0.947440002614,0.,1.,0.,0.980395680515,0.,0.914267860352,0.
cpdf-reformat,0.980395680515,0.,0.947440002614,0.,1.,0.,0.980395680515,0.,0.914267860352,0.
cpdf-squeeze,0.980395680515,0.,0.947440002614,0.,1.,0.,0.980395680515,0.,0.914267860352,0.
cpdf-transform,0.980395680515,0.,0.947440002614,0.,1.,0.,0.980395680515,0.,0.914267860352,0.
frama-c-deflate,,,,,,,,,1.,0.
frama-c-idct,,,,,,,,,1.,0.
jsontrip-sample,0.970623007201,0.,0.82608462007,0.,1.,0.,0.970623007201,0.,0.771862572995,0.
