time_real,4.06.1+multicore+bench,,4.06.1+trunk+bench,
numal-qr-decomposition,,,1.,0.
numal-rnd_access,,,1.,4.45717213753e-05
numal-simple_access,,,1.,0.
sequence,0.97403728074,2.87141029743e-16,1.,0.
sequence-cps,0.903011085805,0.,1.,0.
setrip,0.98128248902,0.,1.,0.
setrip-smallbuf,0.98672490049,0.,1.,1.25469608753e-16

top_heap_words,4.06.1+multicore+bench,,4.06.1+trunk+bench,
almabench,,,1.,0.
bdd,,,1.,0.
cpdf-merge,,,1.,0.
cpdf-reformat,,,1.,0.
cpdf-squeeze,,,1.,0.
cpdf-transform,,,1.,0.
jsontrip-sample,,,1.,0.
kb,,,1.,0.
kb-no-exc,,,1.,0.
lexifi-g2pp,,,1.,0.
menhir-fancy,,,1.,0.
menhir-sql,,,1.,0.
menhir-standard,,,1.,0.
minilight,,,1.,0.
numal-durand-kerner-aberth,,,1.,0.
numal-fft,,,1.,0.
numal-k-means,,,1.,0.
numal-levinson-durbin,,,1.,0.
numal-lu-decomposition,,,1.,0.
numal-naive-multilayer,,,1.,0.
numal-qr-decomposition,,,1.,0.
numal-rnd_access,,,1.,0.
numal-simple_access,,,1.,0.
sequence,,,1.,0.
sequence-cps,,,1.,0.
setrip,,,1.,0.
setrip-smallbuf,,,1.,0.

minor_collections,4.06.1+multicore+bench,,4.06.1+trunk+bench,
almabench,1.,0.,1.,0.
bdd,0.989830508475,0.,1.,0.
cpdf-merge,,,1.,0.
cpdf-reformat,,,1.,0.
cpdf-squeeze,,,1.,0.
cpdf-transform,,,1.,0.
jsontrip-sample,0.964285714286,0.,1.,0.
kb,0.896103896104,0.,1.,0.
kb-no-exc,0.85119047619,0.,1.,0.
lexifi-g2pp,0.999063816508,0.,1.,0.
menhir-fancy,1.,0.,0.9,0.
menhir-sql,0.999243761028,0.,1.,0.
menhir-standard,1.,0.,0.833333333333,0.
minilight,0.999193786783,0.,1.,0.
numal-durand-kerner-aberth,,,1.,0.
numal-fft,,,1.,0.
numal-k-means,,,1.,0.
numal-levinson-durbin,,,1.,0.
numal-lu-decomposition,,,1.,0.
numal-naive-multilayer,,,1.,0.
numal-qr-decomposition,,,1.,0.
numal-rnd_access,,,1.,0.
numal-simple_access,,,1.,0.
sequence,0.976458546571,0.,1.,0.
sequence-cps,0.927137305699,0.,1.,0.
setrip,0.990853658537,0.,1.,0.
setrip-smallbuf,0.992366412214,0.,1.,0.

major_collections,4.06.1+multicore+bench,,4.06.1+trunk+bench,
almabench,1.,0.,0.,0.
bdd,1.,0.,0.5,0.
cpdf-merge,,,1.,0.
cpdf-reformat,,,1.,0.
cpdf-squeeze,,,1.,0.
cpdf-transform,,,1.,0.
jsontrip-sample,1.,0.,1.,0.
kb,1.,0.,0.35393258427,0.
kb-no-exc,1.,0.,0.325203252033,0.
lexifi-g2pp,1.,0.,0.186440677966,0.
menhir-fancy,1.,0.,1.,0.
menhir-sql,1.,0.,0.425,0.
menhir-standard,1.,0.,1.,0.
minilight,1.,0.,0.288659793814,0.
numal-durand-kerner-aberth,,,1.,0.
numal-fft,,,1.,0.
numal-k-means,,,0.,0.
numal-levinson-durbin,,,1.,0.
numal-lu-decomposition,,,1.,0.
numal-naive-multilayer,,,1.,0.
numal-qr-decomposition,,,1.,0.
numal-rnd_access,,,0.,0.
numal-simple_access,,,1.,0.
sequence,1.,0.,0.444444444444,0.
sequence-cps,1.,0.,0.668652271035,0.
setrip,1.,0.,0.322580645161,0.
setrip-smallbuf,1.,0.,0.28125,0.

compactions,4.06.1+multicore+bench,,4.06.1+trunk+bench,
almabench,,,0.,0.
bdd,,,0.,0.
cpdf-merge,,,0.,0.
cpdf-reformat,,,0.,0.
cpdf-squeeze,,,0.,0.
cpdf-transform,,,0.,0.
jsontrip-sample,,,0.,0.
kb,,,1.,0.
kb-no-exc,,,1.,0.
lexifi-g2pp,,,1.,0.
menhir-fancy,,,0.,0.
menhir-sql,,,0.,0.
menhir-standard,,,0.,0.
minilight,,,0.,0.
numal-durand-kerner-aberth,,,1.,0.
numal-fft,,,0.,0.
numal-k-means,,,0.,0.
numal-levinson-durbin,,,1.,0.
numal-lu-decomposition,,,0.,0.
numal-naive-multilayer,,,1.,0.
numal-qr-decomposition,,,0.,0.
numal-rnd_access,,,0.,0.
numal-simple_access,,,0.,0.
sequence,,,1.,0.
sequence-cps,,,1.,0.
setrip,,,1.,0.
setrip-smallbuf,,,1.,0.

heap_words,4.06.1+multicore+bench,,4.06.1+trunk+bench,
almabench,,,1.,0.
bdd,,,1.,0.
cpdf-merge,,,1.,0.
cpdf-reformat,,,1.,0.
cpdf-squeeze,,,1.,0.
cpdf-transform,,,1.,0.
jsontrip-sample,,,1.,0.
kb,,,1.,0.
kb-no-exc,,,1.,0.
lexifi-g2pp,,,1.,0.
menhir-fancy,,,1.,0.
menhir-sql,,,1.,0.
menhir-standard,,,1.,0.
minilight,,,1.,0.
numal-durand-kerner-aberth,,,1.,0.
numal-fft,,,1.,0.
numal-k-means,,,1.,0.
numal-levinson-durbin,,,1.,0.
numal-lu-decomposition,,,1.,0.
numal-naive-multilayer,,,1.,0.
