time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
menhir-sql,1019710626.,nan,1007629243.,nan,1007629239.,nan,1032167599.,0.
menhir-standard,2597074.,0.,2585280.,0.,2585276.,0.,1432106.,0.
menhir-sysver,8153552432.,nan,8153522224.,nan,,,,
minilight,9664218203.,0.,9661072537.,0.,9665266779.,0.,9747431709.,0.
numal-durand-kerner-aberth,76667112.,0.,76667116.,0.,76667114.,0.,77414765.,0.
numal-fft,274390355.,0.,274390359.,0.,274390357.,0.,264242360.,0.
numal-k-means,2563546.,0.,2563666.,0.,2563666.,0.,102494197.,0.
numal-levinson-durbin,964969369.,0.,964969373.,0.,964969373.,0.,1000786333.,0.
numal-lu-decomposition,2318857.,0.,2318863.,0.,2318861.,0.,542217441.,0.
numal-naive-multilayer,2163946621.,0.,2169189502.,0.,2163946625.,0.,2170639393.,0.
numal-qr-decomposition,1645825049.,0.,1645562912.,0.,1645562910.,0.,1711440719.,0.
numal-rnd_access,1847648.,82827.6599211,1939404.,81485.6626407,1293732.66667,1097406.77277,200003742.571,14831.3726816
numal-simple_access,227632417.,0.,227632421.,0.,227632419.,0.,640006197.,0.
patdiff,,,,,,,36596917.,0.
sequence,749670768.,0.,749670793.,0.,749670770.,0.,750492639.,0.
sequence-cps,1502243945.,0.,1502243949.,0.,1502243949.,0.,1501298736.,0.
setrip,168203678.,0.,169514388.,0.,169514388.,0.,170650262.,0.
setrip-smallbuf,170562989.,0.,171087555.,0.,171087555.,0.,170650237.,0.

major_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,975.,0.,981.,0.,979.,0.,941.,0.
bdd,583194.,0.,583198.,0.,583196.,0.,616827.,0.
cpdf-merge,91785981.,nan,91601903.,nan,90412572.,nan,94605527.,0.
cpdf-reformat,75226891.,nan,75226803.,nan,75226835.,nan,76049963.,0.
cpdf-squeeze,132492452.,0.,132492385.,0.,132492420.,0.,138741284.,0.
cpdf-transform,28027014.,0.,28027020.,0.,28027018.,0.,27860239.,0.
jsontrip-sample,26463.,0.,26481.,0.,26478.,0.,29441.,0.
kb,4817857.,0.,4851134.,0.,4817598.,0.,4908177.,0.
kb-no-exc,4644408.,nan,4644391.,nan,4644391.,nan,4671664.,0.
lexifi-g2pp,266462.,0.,266466.,0.,265899.,0.,280169.,0.
menhir-fancy,273054.,0.,272105.,0.,272102.,0.,328731.,0.
menhir-list-errors,1131344161.,nan,1136597006.,nan,,,,
menhir-sql,56243845.,nan,55248638.,nan,55248631.,nan,56164943.,0.
menhir-standard,243291.,0.,242342.,0.,242338.,0.,271961.,0.
menhir-sysver,435455415.,nan,435451292.,nan,,,,
minilight,10556471.,0.,10553812.,0.,10557519.,0.,10642310.,0.
numal-durand-kerner-aberth,227974.,0.,227971.,0.,227979.,0.,237996.,0.
numal-fft,139784459.,0.,139784463.,0.,139784461.,0.,140022140.,0.
numal-k-means,526355.,0.,526364.,0.,526364.,0.,536219.,0.
numal-levinson-durbin,240820090.,0.,240820094.,0.,240820094.,0.,250070736.,0.
numal-lu-decomposition,4624733.,0.,4624734.,0.,4624732.,0.,7775146.,0.
numal-naive-multilayer,1256512.,0.,1259640.,0.,1256522.,0.,1284119.,0.
numal-qr-decomposition,2594693.,0.,2594492.,0.,2594502.,0.,2682974.,0.
numal-rnd_access,200000215.,0.,200000219.,0.,200000217.,0.,200000141.,0.
numal-simple_access,208961133.,0.,208961137.,0.,208961135.,0.,220001889.,0.
patdiff,,,,,,,8896447.,0.
sequence,37286.,0.,37284.,0.,37288.,0.,37749.,0.
sequence-cps,201397.,0.,201401.,0.,201401.,0.,214872.,0.
setrip,13191.,0.,13231.,0.,13231.,0.,13279.,0.
setrip-smallbuf,13259.,0.,13317.,0.,13317.,0.,13279.,0.

promoted_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,897.,0.,903.,0.,901.,0.,941.,0.
bdd,444232.,0.,444236.,0.,444234.,0.,477943.,0.
cpdf-merge,81093930.,nan,81102937.,nan,81048705.,nan,82892080.,0.
cpdf-reformat,64637397.,nan,64637309.,nan,64637341.,nan,65460559.,0.
cpdf-squeeze,120753140.,0.,120753073.,0.,120753108.,0.,123070655.,0.
cpdf-transform,26096995.,0.,26097001.,0.,26096999.,0.,25930310.,0.
jsontrip-sample,9989.,0.,10007.,0.,10004.,0.,13053.,0.
kb,4817779.,0.,4851056.,0.,4817520.,0.,4908177.,0.
kb-no-exc,4644330.,nan,4644313.,nan,4644313.,nan,4671664.,0.
lexifi-g2pp,266384.,0.,266388.,0.,265821.,0.,280169.,0.
menhir-fancy,141602.,0.,140835.,0.,140832.,0.,179489.,0.
menhir-list-errors,411869596.,nan,417115774.,nan,,,,
menhir-sql,46252342.,nan,45544086.,nan,45544079.,nan,46172576.,0.
menhir-standard,106790.,0.,106023.,0.,106019.,0.,123373.,0.
menhir-sysver,324380059.,nan,324378418.,nan,,,,
minilight,10539667.,0.,10537008.,0.,10540715.,0.,10625592.,0.
numal-durand-kerner-aberth,227896.,0.,227893.,0.,227901.,0.,237996.,0.
numal-fft,134541495.,0.,134541499.,0.,134541497.,0.,134779254.,0.
numal-k-means,351080.,0.,351089.,0.,351089.,0.,361022.,0.
numal-levinson-durbin,33716.,0.,33720.,0.,33720.,0.,47317.,0.
numal-lu-decomposition,156739.,0.,156740.,0.,156738.,0.,297668.,0.
numal-naive-multilayer,1256082.,0.,1259210.,0.,1256092.,0.,1283767.,0.
numal-qr-decomposition,2594615.,0.,2594414.,0.,2594424.,0.,2682974.,0.
numal-rnd_access,136.,0.,140.,0.,138.,0.,140.,0.
numal-simple_access,188961054.,0.,188961058.,0.,188961056.,0.,200001888.,0.
patdiff,,,,,,,6522407.,0.
sequence,37208.,0.,37206.,0.,37210.,0.,37749.,0.
sequence-cps,201319.,0.,201323.,0.,201323.,0.,214872.,0.
setrip,4912.,0.,4952.,0.,4952.,0.,5086.,0.
